ID,lexeme,parse,root,lexical category,topic,Level,English,ex sh1,ex se1,ex sh2,ex se2,ex sh3,ex se3,ex sh4,ex se4,ex sh5,ex se5,ex sh6,ex se6,ex sh7,ex se7,ex sh8,ex se8,ex sh9,ex se9,ex sh10,ex se10,ex sh11,ex es11,ex sh12,ex se12,
1822,stl’ula’um ,s-√tl’ula’um,√tl’ula’um,V,NA,C,cockles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1823,tl’ulumthut ,√tl’ulum-that,√tl’ulum,V,MOT,C,"drive, steer",nilh tse' tthun' men tl'ulumthut huy 'uw' suy'amut 'ul'.,Your father will drive because he is careful. (RP 80B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1824,tl’a’lum’thut ,√tl’ulum-that-PROG,√tl’ulum,V,MOT,C,"driving, correcting oneself",yath ch 'uw' yuhwle'lum'xe'num' 'u kwsun's yutl'a'lum'thut.,Be sure to look and be on guard when you are driving. (RP JAN82),stsuw'et kws yuhwlulum'xe'num's 'u tthu yutl'a'lum'thut.,He knows how to look out for the driver. (RP JAN82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1825,tl’lim’ ,√tl’ulum-ASP,√tl’ulum,ADV,DES,B,"really, very",nuw' xut'xut'u 'ul' 'u tthey' 'i' tl'lim' muw' kw'asthut 'ul'.,They were just doing that and the weather got very hot. (WS Eagle Story),tl'lim' nuw' pkw'um tthu qa' kwus wulh kwunutum tthuw'nilh.,The water splashed up when the young man was grabbed. (WS Seal Story),huy lemutus 'u kws lemuts 'i' tl'lim' 'uw' tskwim.,"Whenever he looked at it, it was really red. (WS Eagle Story)",tl'lim' ch 'uw' thkw'uthut.,Make yourself real straight. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1826,tl’ul’im’ ,√tl’ulum-PROG-ASP,√tl’ulum,ADV,DES,C,"right, correct; going the right way",i yuhw ts'u 'uw' yutl'ul'im'.,They must have been going the right way. (BA 101275),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1827,tl’ul’im’thut ,√tl’ulum-that-PROG-ASP,√tl’ulum,V,MOT,C,"drive (a vehicle), steer",sqi'qul' tsun kwunus tl'ul'im'thut.,I don’t know how to drive. (RP 10NOV82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1828,stl’ulnup ,s-√tl’ulnup,√tl’ulnup,N,SOC,C,ancient ground,nilh tse' lhwet kw' mutl'unupt hwqw'uqwilt lhu lhumlhumuluts' thi lelum' stl'ulnup.,Who will be the person to go against the spirits in purifying the floor of the ancient big house at Clemclem? (RP 6JAN82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1829,tl’ulpalus ,√tl’ulpalus,√tl’ulpalus,N,PN,C,Cowichan Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1830,tl’ulxels ,√tl’ulx-els,√tl’ulx,V,ACT,NA,"pop, spatter, sparkle (grease; fire; sparklers)",stem 'a'lu kwthu ni' tl'ulxels sts'uts'e' 'u thu stoop.,What was it that was sparkling on the stove? (RP FEB82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1831,tl’el’xul’s ,√tl’ulx-els-PROG,√tl’ulx,V,ACT,NA,"popping, spattering, sparkling (grease, fire, sparklers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1832,stl’ul’u ,s-√tl’ul’u,√tl’ul’u,ADJ,DES,C,filthy (as a child covered in mud),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1833,shtl’ul’ulqsun ,s-hw-√tl’ul’u-al-qsun,√tl’ul’u,N,BP,B,dried mucus (in nose),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1834,tl’ul’alus ,√tl’ul’u-alus,√tl’ul’u,ADJ,DES,C,"dingy (for ex, dirt-impregnated clothing)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1835,tl’aalusum ,√tl’ul’u-alus-m,√tl’ul’u,ADJ,DES,C,dirty (dirt-stained clothing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1836,tl’ulhnenum ,√tl’ulhnen-m,√tl’ulhnen,V,FH,C,"hunt (in water, gathering octopus, seafood, flounder)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1837,tl’e’lhunum’ ,√tl’ulhnen-m-PROG,√tl’ulhnen,V,FH,C,hunting (in water),mukw' stem 'eshw 'uw' stl'e'lhunum's.,"They got all kinds of food from the sea, even the seal. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1838,shtl’e’lhunum’ s’unum ,shhw-√tl’ulhnen-m-PROG,√tl’ulhnen,N,FH,C,spear: three-pointed spear used in saltwater fish hunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1839,tl’e’lhunum’t ,√tl’ulhnen-m-t-PROG,√tl’ulhnen,V,FH,C,hunting (on water),ni' p'e' kwunutum 'u tthuy' ni' yathulh 'uw' tl'e'lhunum'tus.,He must have been captured by the ones he always kills for food. (WS SEAL STORY),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1840,stl’umkw’ ,s-√tl’umkw’,√tl’umkw’,N,FO,C,roe: fermented salmon eggs (roe) cured underground,ii 'uw' hwun' qux lhun' stl'umkw'.,Do you still have alot of dried salmon eggs? (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1841,stl’am’kw’ ,s-√tl’umkw’-STA,√tl’umkw’,V,CON,C,popped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1842,tl’umkw’t ,√tl’umkw’-t,√tl’umkw’,V,CON,C,pop it in mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1843,tl’umtl’umkw’t ,√tl’umkw’-t-PL,√tl’umkw’,V,CON,C,pop them,tl'umtl'umkw'tus tthu t'at'ulhum's thu pous.,The cat is popping her fleas. (RP 0481),ni' 'u ch hwi' tl'umtl'umkw't lhunu klips.,Have you popped my grapes (in your mouth)? (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1844,tl’em’kw’t ,√tl’umkw’-t-PROG,√tl’umkw’,V,CON,C,popping it in mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1845,tl’emukw’um ,√tl’umkw’-m,√tl’umkw’,V,CON,C,"pop (for ex, it pops)",wulh tl'emukw'um tthu qw'aqwuqw.,The grape kelp (wrack weed) pops. (EW 4AUG77),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1846,wutl’um’ukw’ ,wu-√tl’umkw’,√tl’umkw’,V,CON,C,pop,ni' wutl'um'ukw' lhu p'ip'q'uyas kwsus p'uytl'tus.,The waxberry popped when he squeezed it. (RP FEB83),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1847,tl’umkw’alust ,√tl’umkw’-alus-t,√tl’umkw’,V,ACT,NA,pop eyes,tl'umkw'alust lhu tthu qeq suw' 'ituts.,"Pop the baby’s eyes and it will sleep. (You touch finger and thumb together, draw your hand away from each of the baby’s eyes, making a popping sound--alternating from eye to eye.) (RP 18DEC81)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1848,tl’am’kw’ul’ust ,√tl’umkw’-alus-t-PROG,√tl’umkw’,V,ACT,NA,popping eyes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1849,tl’umkw’alst ,√tl’umkw’-als-t,√tl’umkw’,V,FO,C,pop berries (in mouth),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1850,tl’am’kw’ul’st ,√tl’umkw’-als-t-PROG,√tl’umkw’,V,FO,C,popping berries,e'ut 'i'elh wulh tl'am'kw'ul'stus tthu p'i'p'q'i'as.,He is popping the snowberries again. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1851,tl’em’kw’ul’st ,√tl’umkw’-als-t-PROG,√tl’umkw’,V,FO,C,popping berries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1852,shtl’um’tl’am’kw’us ,s-hw-√tl’umkw’-as-STA,√tl’umkw’,ADJ,NA,C,pitted face,na'ut hwu hwqulima'us kwsus hwu shtl'um'tl'am'kw'us.,He became ugly when he got a pitted face. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1853,tl’umkw’i’ast ,√tl’umkw’-i’as-t,√tl’umkw’,V,CON,C,"pop something on its chest, midsection",e'ut hwi' tl'umkw'i'astus tthu ts'lhmunkis,It is popping something from the other monkey’s chest. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1854,tl’im’kw’i’ast ,√tl’umkw’-i’as-t-DUR,√tl’umkw’,V,CON,C,"popping something on its chest, midsection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1855,tl’upx ,√tl’upx,√tl’upx,V,ACT,NA,"scatter, spread, spill (for ex, seeds, feathers)",ni' tl'upx 'al' tthu swe's.,His just spilled. (EW 4AUG77) ,uy' kws tl'upxs kw' tth'xut 'u tthun' 'athusmun.,You should spread some gravel in the front yard. (RP FEB83),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1856,stl’epx ,s-√tl’upx-STA,√tl’upx,ADV,DES,C,"scattered, spread, broadcasted (e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1857,stl’i’tl’epx ,s-√tl’upx-STA-DIM,√tl’upx,ADV,DES,C,"scattered, spread (for ex, seeds, feathers) DIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1858,tl’upxt ,√tl’upx-t,√tl’upx,V,ACT,NA,"scatter it, spread it, broadcast it (for ex, seeds, feathers, sand)",tl'upxt tthu suplil 'u tthu shhwi'qul's.,Sprinkle some flour into the baking pan. (RP 18DEC81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1859,tl’upxnuhw ,√tl’upx-nehw,√tl’upx,V,ACT,NA,"scatter, spread: manage to or accidentally scatter it",nii ch tl'upxnuhw thun' sul'esun's.,Have you scattered your pennies? (RP 18DEC81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1860,tl’epxt ,√tl’upx-t-PROG,√tl’upx,V,ACT,NA,"scattering, spreading, broadcasting it (seeds, feathers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1861,tl’epxnuhw ,√tl’upx-nehw-PROG,√tl’upx,V,ACT,NA,"scattering it (accidentally, manage to)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1862,tl’i’tl’epxt ,√tl’upx-t-DIM-PROG,√tl’upx,V,ACT,NA,"scattering, spreading, broadcasting it DIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1863,tl’uli’tl’epxt ,√tl’upx-t-DIM-PL-PROG,√tl’upx,V,ACT,NA,"scattering, spreading, broadcasting them DIM PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1864,tl’epuxum ,√tl’upx-m,√tl’upx,V,ACT,NA,"scatter (for ex, beads), fall (leaves)",na'ut tl'epexum thunu sqwinqwun.,My rosary has scattered. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1865,tl’upxels ,√tl’upx-els,√tl’upx,V,ACT,NA,"scatter something (for ex, feathers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1866,tl’epxum’ ,√tl’upx-m-PROG,√tl’upx,V,ACT,NA,"scattering (for ex, beads), falling (for ex, leaves)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1867,tl’epuxumsthwus ,√tl’upx-m-stuhw,√tl’upx,V,ACT,NA,"scatter, make it scatter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1868,hwtl’uptl’upxt ,hw-√tl’upx-t-PL,√tl’upx,V,ACT,NA,"scatter, sprinkle a substance into a hole PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1869,hwtl’uptl’upxust ,hw-√tl’upx-as-t-PL,√tl’upx,V,ACT,NA,"scatter berries (for ex, on a rock, for drying) PL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1870,hwtl’upxuqut ,hw-√tl’upx-uqun-t,√tl’upx,V,ACT,NA,scatter it around the rim of a hole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1871,hwtl’epxuqut ,hw-√tl’upx-uqun-t-PROG,√tl’upx,V,ACT,NA,scattering it around the rim of a hole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1872,hwtl’uptl’upxuqut ,hw-√tl’upx-uqun-t-PL,√tl’upx,V,ACT,NA,scatter it around many containers/holes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1873,shtl’up’isnuts ,shhw-√tl’up’is-nets,√tl’up’is,N,BP,B,tail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1874,stl’uq’shun’ ,s-√tl’uq’-shen,√tl’uq’,N,CL,A,"mocassins, slippers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1875,tl’usip ,√tl’usip,√tl’usip,N,PL,B,fern: licorice fern (used as a sweetener),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1876,tl’ew’q’ ,√tl’uwq’-PROG,√tl’uwq’,N,BP,D,bottom/buttocks (humorous),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1877,tl’ewuq’um ,√tl’uwq’-m,√tl’uwq’,V,ACT,NA,flicker (light),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1878,tl’uw’ut ,√tl’uw’-t,√tl’uw’,V,ACT,NA,"lance, take out (slivers)",yuyuqwqst ch tthu p'utthtun yelh 'un's tl'uw'ut kwthu sts'uqw'shens kwthun' mun'u.,Burn the needle point before you take the sliver from your son’s foot. (RP FEB82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1879,tl’uhwla’us ,√tl’uhwla’us,√tl’uhwla’us,NA,FUN,NA,no-matter,...'i' nilh huy'tuntst tthey' tl'uhwla'us kwsuw' tsakws kwthu mustimuhw 'i' nem' tst kwe't tthey' 'i' 'uw' tus 'u kwthey'...,...it is our weapon--no matter if that person is far away and we let that go it will arrive there… (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1880,tl’uxw ,√tl’uxw,√tl’uxw,ADJ,DES,C,hard,hwutl'uxw tthu suplil.,The bread got hard. (RP 23JUN75),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1881,tl’uxwtl’uxw ,√tl’uxw-RDP,√tl’uxw,N,FO,C,oyster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1882,hwutl’uxw ,hwu-√tl’xwu,√tl’uxw,ADJ,DES,C,hard: become hard,yuqwtus suw' ya-a-aqwtus tthuw'nilh sus tl'lim' 'uw' hwutl'uxw st'e 'u kw' smeent 'uw' stemus suw' yuq'utus tthuw'nile8.,"He then put it in the fire and burnt it until it became hard like a rock or whatever, then he sharpened it. (WS Eagle Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1883,tstl’uxwtl’uxw ,ts-√tl’uxw-RDP,√tl’uxw,N,FO,C,"oyster: gather, have oysters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1884,tstl’ixwtl’uxw ,ts-√tl’uxw-RDP-PROG,√tl’uxw,N,FO,C,oyster: gathering oysters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1885,tl’xwunup ,√tl’uxw-unup,√tl’uxw,N,NAT,C,hard ground,tl'xwunup tth u tumuhw suyq'.,The clay ground is hard. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1886,stl’i’atth’ ,s-√tl’uyutth’-STA,√tl’uyutth’,NA,NA,C,tensed up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1887,tl’uyutth’thut ,√tl’uyutth’-that,√tl’uyutth’,V,ACT,NA,tense up,tl'uyutth'thut kwsus wulh kw'lhastum 'u tthu xuytl' qa'.,He tensed up when he was splashed with water. (DL 160376),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1888,tl’utl’uyutth’thut ,√tl’uyutth’-that-PROG,√tl’uyutth’,V,ACT,NA,tensing up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1889,hwtl’uy’kwust ,hw-√tl’uykw-as-t,√tl’uykw,V,COM,C,wink at,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1890,hwtl’ay’kwustham’sh ,hw-√tl’uykw-as-t-sam’sh-PROG,√tl’uykw,V,COM,C,winking at me) 'ii ch hwtl'ay'kwustham'sh,ii ch hwtl'ay'kwustham'sh.,Are you winking at me? (RP JUN83),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1891,wtl’uykwusum ,hw-√tl’uykw-as-m,√tl’uykw,V,COM,C,wink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1892,hwtl’ay’kwusum’ ,hw-√tl’uykw-as-m-PROG,√tl’uykw,V,COM,C,winking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1893,tl’eyuq’um ,√tl’uyq’-m,√tl’uyq’,V,ACT,NA,"smoke (for ex, the fire smokes)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1894,stl’eyuq’um ,s-√tl’uyq’-m,√tl’uyq’,N,NAT,C,smoke (n,tl'lim' tsun hwxullhalus 'u kwthu stl'eyuq'um 'u kw'un'a snet.,My eyes got hurt from the smoke last night. (RP 80B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1895,tl’ey’q’um’ ,√tl’uyq’-m-PROG,√tl’uyq’,V,ACT,NA,smoking (fire),i' wulh nilh tthey' ni' tl'ey'q'um'.,"And it was that, that was smoking. (BA syalutsa'.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1896,tl’ey’tl’ey’q’um’ ,√tl’uyq’-m-PROG-PL,√tl’uyq’,V,ACT,NA,smoking PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1897,tl’uy’q’ ,√tl’uyq’,√tl’uyq’,V,STP,C,"pinned down, held down",ni' tl'uy'q' tthu nu sxun'u 'u tthu luplash.,My foot got pinned by the board. (RP 12DEC76),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1898,tl’uy’q’t ,√tl’uyq’-t,√tl’uyq’,V,CON,C,squeeze it (as in a vice); pin it down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1899,tl’uyuq’tun ,√tl’uyq’-ten,√tl’uyq’,N,TO,NA,tongs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1900,stl’ey’q’stuhw ,s-√tl’uyq’-stuhw-STA,√tl’uyq’,V,ACT,NA,hold it down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1901,tl’uy’q’ust ,√tl’uyq’-as-t,√tl’uyq’,V,ACT,NA,"pin down (for ex, with a weight) something moving",xwchenum tthuw'nilh suw' tl'uy'q'ustus.,The young man ran to him and held him down (with his foot). (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1902,tl’uy’q’ustum ,√tl’uyq’-as-t-m,√tl’uyq’,V,STP,C,pinned down PASS,nem' huya'stum tl'uyq'ustum sus 'uw' thuhw.,"He was taken away, pinned under water and he disappeared. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1903,tl’itsut ,√tl’its-t,√tl’its,V,HC,C,design: knit in a design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1904,tl’tsels ,√tl’its-els,√tl’its,V,HC,C,design: make a pattern/design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1905,stl’tsels ,s-√tl’its-els,√tl’its,N,HC,C,"design, pattern (noun)",nii ch xul'nuhw lhun' stl'tsels.,Have you managed to do your design? (RP 80BB),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1906,tl’itl’utsul’s ,√tl’its-els-PROG,√tl’its,V,HC,C,design: making a pattern/design,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1907,tl’its’ut ,√tl’its’-t,√tl’its,V,ACT,NA,sneak up on,huye-e-e's tthuw'nilh swiw'lus nem' tl'its'utus.,So the young man went on to sneak up to them. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1908,stl’itl’uts’stuhw ,s-√tl’its’-stuhw-STA,√tl’its,V,ACT,NA,sneaking around,m'i yusaq'thut tthu skweyul 'i' ni' wulh ni' kwsus stl'itl'uts'sthwus.,At the break of dawn he sneaked up and camouflaged himself. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1909,tl’its’utum ,√tl’its’-t-m,√tl’its,V,ACT,NA,sneak up on,ne-e-em' 'imush tl'its'utum tthu 'eshw.,He walked and sneaked up on the seal. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
